midashi1	midashi2	midashi3	midashi4	content	資料B_本文	誤差	資料B_項番	index	delete	emb	meta	資料B_本文_emb
""	""	""	""	"```
公共建築工事標準仕様書（電気設備工事編）
令和４年版
令和４年３月23 日 国営設第 222号
最終改定 令和４年５月 10 日 国営設第 29 号
この標準仕様書は、国土交通省官庁営繕部及び地方整備局等営繕部が官庁施設の営繕を実施するための基準として制定したものです。また、この標準仕様書は、官庁営繕関係基準類等の統一化に関する関係省庁連絡会議の決定に基づく統一基準です。
利用にあたっては、国土交通省ホームページのリンク・著作権・免責事項に関する利用ルール（http://www.mlit.go.jp/link.html）をご確認ください。
国土交通省大臣官房官庁営繕部
```
"				0.0	""	"::
```
公共建築工事標準仕様書（電気設備工事編）
令和４年版
令和４年３月23 日 国営設第 222号
最終改定 令和４年５月 10 日 国営設第 29 号
この標準仕様書は、国土交通省官庁営繕部及び地方整備局等営繕部が官庁施設の営繕を実施するための基準として制定したものです。また、この標準仕様書は、官庁営繕関係基準類等の統一化に関する関係省庁連絡会議の決定に基づく統一基準です。
利用にあたっては、国土交通省ホームページのリンク・著作権・免責事項に関する利用ルール（http://www.mlit.go.jp/link.html）をご確認ください。
国土交通省大臣官房官庁営繕部
```
"	   	
第1編 一般共通事項	""	""	""	""	""	0.000002	第１編 一般共通事項   	1.0	""	" 一般共通事項::
"	第1編 一般共通事項   	" 一般共通事項::
"
""	""	""	""	""	""	0.074231	第１編 一般共通事項 第１章 一般事項  	1.0	""	" 一般共通事項::
"	第1編 一般共通事項   	" 一般共通事項 一般事項::
"
""	""	""	""	""	""	0.256891	第１編 一般共通事項 第１章 一般事項 第１節 総則 	1.0	""	" 一般共通事項::
"	第1編 一般共通事項   	" 一般共通事項 一般事項 総則::
"
第1編 一般共通事項	第1章 一般事項	""	""	""	""	0.000001	第１編 一般共通事項 第１章 一般事項  	2.0	""	" 一般共通事項 一般事項::
"	第1編 一般共通事項 第1章 一般事項  	" 一般共通事項 一般事項::
"
""	""	""	""	""	""	0.074151	第１編 一般共通事項   	2.0	""	" 一般共通事項 一般事項::
"	第1編 一般共通事項 第1章 一般事項  	" 一般共通事項::
"
""	""	""	""	""	""	0.173134	第１編 一般共通事項 第１章 一般事項 第１節 総則 	2.0	""	" 一般共通事項 一般事項::
"	第1編 一般共通事項 第1章 一般事項  	" 一般共通事項 一般事項 総則::
"
第1編 一般共通事項	第1章 一般事項	第1節 総則	""	""	""	0.021488	第１編 一般共通事項 第１章 一般事項 第１節 総則 	3.0	""	" 一般共通事項 一般事項 総則::
"	第1編 一般共通事項 第1章 一般事項 第1節 総則 	" 一般共通事項 一般事項 総則::
"
""	""	""	""	""	""	0.171232	第１編 一般共通事項 第１章 一般事項  	3.0	""	" 一般共通事項 一般事項 総則::
"	第1編 一般共通事項 第1章 一般事項 第1節 総則 	" 一般共通事項 一般事項::
"
""	""	""	""	""	""	0.262914	第１編 一般共通事項   	3.0	""	" 一般共通事項 一般事項 総則::
"	第1編 一般共通事項 第1章 一般事項 第1節 総則 	" 一般共通事項::
"
