midashi1	midashi2	midashi3	midashi4	content	資料B_本文	誤差	資料B_項番	index	delete	emb	meta	資料B_本文_emb
""	""	""	""	""				0.0	""	"::
"	   	
第１章 総則	""	""	""	""	""	0.679839	第1編 一般共通事項 第1章 一般事項 第1節 総則 	1.0	""	" 総則::
"	第１章 総則   	" 一般共通事項 一般事項 総則::
"
""	""	""	""	""	""	0.929322	第1編 一般共通事項   	1.0	""	" 総則::
"	第１章 総則   	" 一般共通事項::
"
""	""	""	""	""	""	0.995479	第1編 一般共通事項 第1章 一般事項  	1.0	""	" 総則::
"	第１章 総則   	" 一般共通事項 一般事項::
"
第１章 総則	第１節 一般事項	""	""	""	""	0.33238	第1編 一般共通事項 第1章 一般事項 第1節 総則 	2.0	""	" 総則 一般事項::
"	第１章 総則 第１節 一般事項  	" 一般共通事項 一般事項 総則::
"
""	""	""	""	""	""	0.523739	第1編 一般共通事項 第1章 一般事項  	2.0	""	" 総則 一般事項::
"	第１章 総則 第１節 一般事項  	" 一般共通事項 一般事項::
"
""	""	""	""	""	""	0.598321	第1編 一般共通事項   	2.0	""	" 総則 一般事項::
"	第１章 総則 第１節 一般事項  	" 一般共通事項::
"
第１章 総則	第１節 一般事項	１－１－１ 適用	""	"１ 電気･機械工事標準仕様書（以下「標準仕様書」という。）は，神奈川県企業庁の各所属が発注する
電気通信設備工事及び機械設備工事に係る工事請負契約書（頭書を含み以下「契約書」という。）及
び設計図書の内容について，統一的な解釈及び運用を図るとともに，その他必要な事項を定め，も
って契約の適正な履行の確保を図るものである。
２ 受注者は，標準仕様書の適用については，契約書第9条及び第13条に基づく監督，検査体制のも
とで，建設業法第18条に定める建設工事の請負契約の原則に基づく施工管理体制を遵守しなければ
ならない。また，受注者はこれら監督，検査（完成検査，既済部分検査）については，地方自治法
第234条の2に基づくものであることを認識しなければならない。
３ 契約書に添付されている図面，特記仕様書，現場説明書及び現場説明に対する質問回答書に記載さ
れた事項は，この標準仕様書に優先する。
４ 特記仕様書及び図面の間に相違がある場合，または図面からの読み取りと図面に書かれた数字が相
違する場合，受注者は監督員に確認して指示を受けなければならない。
５ 設計図書はSI単位を使用するものとする。SI単位については，SI単位と非SI単位が併記されて
いる場合は，（）内を非SI単位とする。
"				3.0	del	" 総則 一般事項 適用::
１ 電気･機械工事標準仕様書（以下「標準仕様書」という。）は，神奈川県企業庁の各所属が発注する
電気通信設備工事及び機械設備工事に係る工事請負契約書（頭書を含み以下「契約書」という。）及
び設計図書の内容について，統一的な解釈及び運用を図るとともに，その他必要な事項を定め，も
って契約の適正な履行の確保を図るものである。
２ 受注者は，標準仕様書の適用については，契約書第9条及び第13条に基づく監督，検査体制のも
とで，建設業法第18条に定める建設工事の請負契約の原則に基づく施工管理体制を遵守しなければ
ならない。また，受注者はこれら監督，検査（完成検査，既済部分検査）については，地方自治法
第234条の2に基づくものであることを認識しなければならない。
３ 契約書に添付されている図面，特記仕様書，現場説明書及び現場説明に対する質問回答書に記載さ
れた事項は，この標準仕様書に優先する。
４ 特記仕様書及び図面の間に相違がある場合，または図面からの読み取りと図面に書かれた数字が相
違する場合，受注者は監督員に確認して指示を受けなければならない。
５ 設計図書はSI単位を使用するものとする。SI単位については，SI単位と非SI単位が併記されて
いる場合は，（）内を非SI単位とする。
"	第１章 総則 第１節 一般事項 １－１－１ 適用 	
第１章 総則	第１節 一般事項	１－１－１ 適用	""	"１ 電気･機械工事標準仕様書（以下「標準仕様書」という。）は，神奈川県企業庁の各所属が発注する
電気通信設備工事及び機械設備工事に係る工事請負契約書（頭書を含み以下「契約書」という。）及
び設計図書の内容について，統一的な解釈及び運用を図るとともに，その他必要な事項を定め，も
って契約の適正な履行の確保を図るものである。
２ 受注者は，標準仕様書の適用については，契約書第9条及び第13条に基づく監督，検査体制のも
とで，建設業法第18条に定める建設工事の請負契約の原則に基づく施工管理体制を遵守しなければ
ならない。また，受注者はこれら監督，検査（完成検査，既済部分検査）については，地方自治法
第234条の2に基づくものであることを認識しなければならない。
３ 契約書に添付されている図面，特記仕様書，現場説明書及び現場説明に対する質問回答書に記載さ
れた事項は，この標準仕様書に優先する。
４ 特記仕様書及び図面の間に相違がある場合，または図面からの読み取りと図面に書かれた数字が相
違する場合，受注者は監督員に確認して指示を受けなければならない。
５ 設計図書はSI単位を使用するものとする。SI単位については，SI単位と非SI単位が併記されて
いる場合は，（）内を非SI単位とする。
"	"(1) 公共建築工事標準仕様書（電気設備工事編）（以下「標準仕様書」という。）に規定されてい
る事項は、別の定めがある場合を除き、受注者の責任において履行する。
(2) 全ての設計図書は、相互に補完する。ただし、設計図書間に相違がある場合の優先順位は、
次の(ｱ)から(ｵ)までの順番のとおりとし、これにより難い場合は、1.1.8「疑義に対する協議等」
による。
(ｱ) 質問回答書（(ｲ)から(ｵ)までに対するもの）
(ｲ) 現場説明書
(ｳ) 特記仕様
(ｴ) 図面
(ｵ) 標準仕様書
"	0.464167	第1編 一般共通事項 第1章 一般事項 第1節 総則 1.1.1 適用	3.01	""	" 総則 一般事項 適用::
１ 電気･機械工事標準仕様書（以下「標準仕様書」という。）は，神奈川県企業庁の各所属が発注する
電気通信設備工事及び機械設備工事に係る工事請負契約書（頭書を含み以下「契約書」という。）及
び設計図書の内容について，統一的な解釈及び運用を図るとともに，その他必要な事項を定め，も
って契約の適正な履行の確保を図るものである。
２ 受注者は，標準仕様書の適用については，契約書第9条及び第13条に基づく監督，検査体制のも
とで，建設業法第18条に定める建設工事の請負契約の原則に基づく施工管理体制を遵守しなければ
ならない。また，受注者はこれら監督，検査（完成検査，既済部分検査）については，地方自治法
第234条の2に基づくものであることを認識しなければならない。
３ 契約書に添付されている図面，特記仕様書，現場説明書及び現場説明に対する質問回答書に記載さ
れた事項は，この標準仕様書に優先する。
４ 特記仕様書及び図面の間に相違がある場合，または図面からの読み取りと図面に書かれた数字が相
違する場合，受注者は監督員に確認して指示を受けなければならない。
５ 設計図書はSI単位を使用するものとする。SI単位については，SI単位と非SI単位が併記されて
いる場合は，（）内を非SI単位とする。
"	第１章 総則 第１節 一般事項 １－１－１ 適用 	" 一般共通事項 一般事項 総則 適用::
(1) 公共建築工事標準仕様書（電気設備工事編）（以下「標準仕様書」という。）に規定されてい
る事項は、別の定めがある場合を除き、受注者の責任において履行する。
(2) 全ての設計図書は、相互に補完する。ただし、設計図書間に相違がある場合の優先順位は、
次の(ｱ)から(ｵ)までの順番のとおりとし、これにより難い場合は、1.1.8「疑義に対する協議等」
による。
(ｱ) 質問回答書（(ｲ)から(ｵ)までに対するもの）
(ｲ) 現場説明書
(ｳ) 特記仕様
(ｴ) 図面
(ｵ) 標準仕様書
"
""	""	""	""	""	"(1) 書面を提出する場合の書式（提出部数を含む。）は、公共建築工事標準書式によるほか、監督
職員と協議する。
(2) 標準仕様書において書面により行わなければならないこととされている「監督職員の承諾」、
「監督職員の指示」、「監督職員と協議」、「監督職員に報告」及び「監督職員に提出」について
は、電子メール等の情報通信の技術を利用する方法を用いて行うことができる。
(3) 施工体制台帳及び施工体系図については、建設業法（昭和24年法律第100号）及び公共工事
の入札及び契約の適正化の促進に関する法律（平成12年法律第127号）に基づき作成し、写し
を監督職員に提出する。
"	0.608835	第1編 一般共通事項 第1章 一般事項 第1節 総則 1.1.5 書面の書式及び取扱い	3.01	""	" 総則 一般事項 適用::
１ 電気･機械工事標準仕様書（以下「標準仕様書」という。）は，神奈川県企業庁の各所属が発注する
電気通信設備工事及び機械設備工事に係る工事請負契約書（頭書を含み以下「契約書」という。）及
び設計図書の内容について，統一的な解釈及び運用を図るとともに，その他必要な事項を定め，も
って契約の適正な履行の確保を図るものである。
２ 受注者は，標準仕様書の適用については，契約書第9条及び第13条に基づく監督，検査体制のも
とで，建設業法第18条に定める建設工事の請負契約の原則に基づく施工管理体制を遵守しなければ
ならない。また，受注者はこれら監督，検査（完成検査，既済部分検査）については，地方自治法
第234条の2に基づくものであることを認識しなければならない。
３ 契約書に添付されている図面，特記仕様書，現場説明書及び現場説明に対する質問回答書に記載さ
れた事項は，この標準仕様書に優先する。
４ 特記仕様書及び図面の間に相違がある場合，または図面からの読み取りと図面に書かれた数字が相
違する場合，受注者は監督員に確認して指示を受けなければならない。
５ 設計図書はSI単位を使用するものとする。SI単位については，SI単位と非SI単位が併記されて
いる場合は，（）内を非SI単位とする。
"	第１章 総則 第１節 一般事項 １－１－１ 適用 	" 一般共通事項 一般事項 総則 書面の書式及び取扱い::
(1) 書面を提出する場合の書式（提出部数を含む。）は、公共建築工事標準書式によるほか、監督
職員と協議する。
(2) 標準仕様書において書面により行わなければならないこととされている「監督職員の承諾」、
「監督職員の指示」、「監督職員と協議」、「監督職員に報告」及び「監督職員に提出」について
は、電子メール等の情報通信の技術を利用する方法を用いて行うことができる。
(3) 施工体制台帳及び施工体系図については、建設業法（昭和24年法律第100号）及び公共工事
の入札及び契約の適正化の促進に関する法律（平成12年法律第127号）に基づき作成し、写し
を監督職員に提出する。
"
